award_id,tender_id,winner_vendor_id,awarded_amount_inr,award_date,award_reason
A340,T340,V047,16445756,2024-05-21,Lowest responsive and technically qualified bidder (L1)
A341,T341,V007,45054173,2024-05-20,Lowest responsive and technically qualified bidder (L1)
A342,T342,V001,74817996,2024-05-19,Lowest responsive and technically qualified bidder (L1)
A343,T343,V032,18414014,2024-05-27,Lowest responsive and technically qualified bidder (L1)
A344,T344,V041,155052303,2024-05-29,Lowest responsive and technically qualified bidder (L1)
A345,T345,V010,49602602,2024-06-05,Lowest responsive and technically qualified bidder (L1)
A346,T346,V012,57143363,2024-05-25,Lowest responsive and technically qualified bidder (L1)
A347,T347,V037,13174257,2024-05-21,Lowest responsive and technically qualified bidder (L1)
A348,T348,V004,23702905,2024-06-01,Lowest responsive and technically qualified bidder (L1)
A349,T349,V050,148806145,2024-05-28,Lowest responsive and technically qualified bidder (L1)
A350,T350,V013,155190602,2024-05-31,Lowest responsive and technically qualified bidder (L1)
A351,T351,V042,105490329,2024-06-09,Lowest responsive and technically qualified bidder (L1)
A352,T352,V034,110997338,2024-06-02,Lowest responsive and technically qualified bidder (L1)
A353,T353,V017,51255513,2024-05-29,Lowest responsive and technically qualified bidder (L1)
A354,T354,V020,3910919,2024-06-01,Lowest responsive and technically qualified bidder (L1)
A355,T355,V033,20103109,2024-06-14,Lowest responsive and technically qualified bidder (L1)
A356,T356,V011,132507514,2024-06-09,Lowest responsive and technically qualified bidder (L1)
A357,T357,V044,26351960,2024-06-14,Lowest responsive and technically qualified bidder (L1)
A358,T358,V039,36924336,2024-06-07,Lowest responsive and technically qualified bidder (L1)
A359,T359,V035,19642476,2024-06-17,Lowest responsive and technically qualified bidder (L1)
A360,T360,V001,83726883,2024-06-08,Lowest responsive and technically qualified bidder (L1)
A361,T361,V050,35286285,2024-06-15,Lowest responsive and technically qualified bidder (L1)
A362,T362,V034,131484869,2024-06-13,Lowest responsive and technically qualified bidder (L1)
A363,T363,V036,90587004,2024-06-15,Lowest responsive and technically qualified bidder (L1)
A364,T364,V026,39366837,2024-06-14,Lowest responsive and technically qualified bidder (L1)
A365,T365,V017,76901475,2024-06-20,Lowest responsive and technically qualified bidder (L1)
A366,T366,V017,64031026,2024-06-15,Lowest responsive and technically qualified bidder (L1)
A367,T367,V009,159436249,2024-06-15,Lowest responsive and technically qualified bidder (L1)
A368,T368,V050,151791198,2024-06-29,Lowest responsive and technically qualified bidder (L1)
A369,T369,V030,10860217,2024-06-30,Lowest responsive and technically qualified bidder (L1)
A370,T370,V039,122131928,2024-06-24,Lowest responsive and technically qualified bidder (L1)
A371,T371,V035,4445108,2024-06-19,Lowest responsive and technically qualified bidder (L1)
A372,T372,V038,147326896,2024-07-07,Lowest responsive and technically qualified bidder (L1)
A373,T373,V028,109264740,2024-06-28,Lowest responsive and technically qualified bidder (L1)
A374,T374,V019,27887225,2024-07-02,Lowest responsive and technically qualified bidder (L1)
A375,T375,V048,10666829,2024-07-02,Lowest responsive and technically qualified bidder (L1)
A376,T376,V018,136439275,2024-07-09,Lowest responsive and technically qualified bidder (L1)
A377,T377,V008,109438823,2024-07-14,Lowest responsive and technically qualified bidder (L1)
A378,T378,V001,89535699,2024-07-16,Lowest responsive and technically qualified bidder (L1)
A379,T379,V041,90116858,2024-07-06,Lowest responsive and technically qualified bidder (L1)
A380,T380,V005,141737959,2024-06-28,Lowest responsive and technically qualified bidder (L1)
A381,T381,V033,98712130,2024-07-14,Lowest responsive and technically qualified bidder (L1)
A382,T382,V041,91469035,2024-07-18,Lowest responsive and technically qualified bidder (L1)
A383,T383,V047,94836352,2024-07-13,Lowest responsive and technically qualified bidder (L1)
A384,T384,V048,81532540,2024-07-18,Lowest responsive and technically qualified bidder (L1)
A385,T385,V035,51765805,2024-07-11,Lowest responsive and technically qualified bidder (L1)
A386,T386,V045,162624961,2024-07-23,Lowest responsive and technically qualified bidder (L1)
A387,T387,V049,39072876,2024-07-12,Lowest responsive and technically qualified bidder (L1)
A388,T388,V042,124596611,2024-07-10,Lowest responsive and technically qualified bidder (L1)
A389,T389,V014,109952807,2024-07-14,Lowest responsive and technically qualified bidder (L1)
A390,T390,V044,140808141,2024-07-31,Lowest responsive and technically qualified bidder (L1)
A391,T391,V041,53696844,2024-07-19,Lowest responsive and technically qualified bidder (L1)
A392,T392,V049,82465088,2024-07-26,Lowest responsive and technically qualified bidder (L1)
A393,T393,V048,95987345,2024-07-30,Lowest responsive and technically qualified bidder (L1)
A394,T394,V020,77652462,2024-08-03,Lowest responsive and technically qualified bidder (L1)
A395,T395,V010,18775064,2024-07-23,Lowest responsive and technically qualified bidder (L1)
A396,T396,V001,20089105,2024-08-05,Lowest responsive and technically qualified bidder (L1)
A397,T397,V031,16846785,2024-08-08,Lowest responsive and technically qualified bidder (L1)
A398,T398,V003,28562754,2024-07-21,Lowest responsive and technically qualified bidder (L1)
A399,T399,V040,125675155,2024-08-13,Lowest responsive and technically qualified bidder (L1)
A400,T400,V039,142567972,2024-07-26,Lowest responsive and technically qualified bidder (L1)
A401,T401,V027,22080993,2024-08-03,Lowest responsive and technically qualified bidder (L1)
A402,T402,V045,154950782,2024-08-03,Lowest responsive and technically qualified bidder (L1)
A403,T403,V021,91330226,2024-08-13,Lowest responsive and technically qualified bidder (L1)
A404,T404,V016,123929700,2024-08-11,Lowest responsive and technically qualified bidder (L1)
A405,T405,V035,121079207,2024-08-07,Lowest responsive and technically qualified bidder (L1)
A406,T406,V040,154553842,2024-08-14,Lowest responsive and technically qualified bidder (L1)
A407,T407,V039,105915688,2024-08-18,Lowest responsive and technically qualified bidder (L1)
A408,T408,V019,103755950,2024-08-13,Lowest responsive and technically qualified bidder (L1)
A409,T409,V028,82825836,2024-08-28,Lowest responsive and technically qualified bidder (L1)
A410,T410,V050,64940245,2024-08-30,Lowest responsive and technically qualified bidder (L1)
A411,T411,V017,114156554,2024-08-14,Lowest responsive and technically qualified bidder (L1)
A412,T412,V011,76778406,2024-08-24,Lowest responsive and technically qualified bidder (L1)
A413,T413,V034,93379489,2024-08-22,Lowest responsive and technically qualified bidder (L1)
A414,T414,V001,30700614,2024-08-28,Lowest responsive and technically qualified bidder (L1)
A415,T415,V006,116214806,2024-08-20,Lowest responsive and technically qualified bidder (L1)
A416,T416,V017,4574536,2024-08-19,Lowest responsive and technically qualified bidder (L1)
A417,T417,V030,125365792,2024-08-23,Lowest responsive and technically qualified bidder (L1)
A418,T418,V005,47652364,2024-08-26,Lowest responsive and technically qualified bidder (L1)
A419,T419,V036,155369652,2024-09-02,Lowest responsive and technically qualified bidder (L1)
A420,T420,V003,121440840,2024-08-27,Lowest responsive and technically qualified bidder (L1)
A421,T421,V050,12199276,2024-09-01,Lowest responsive and technically qualified bidder (L1)
A422,T422,V036,165003204,2024-08-27,Lowest responsive and technically qualified bidder (L1)
A423,T423,V026,74597181,2024-09-08,Lowest responsive and technically qualified bidder (L1)
A424,T424,V036,93076540,2024-09-08,Lowest responsive and technically qualified bidder (L1)
A425,T425,V016,14799746,2024-09-07,Lowest responsive and technically qualified bidder (L1)
A426,T426,V026,132116277,2024-09-12,Lowest responsive and technically qualified bidder (L1)
A427,T427,V035,34412251,2024-09-11,Lowest responsive and technically qualified bidder (L1)
A428,T428,V027,132862957,2024-09-15,Lowest responsive and technically qualified bidder (L1)
A429,T429,V010,55071727,2024-09-06,Lowest responsive and technically qualified bidder (L1)
A430,T430,V011,108449853,2024-09-14,Lowest responsive and technically qualified bidder (L1)
A431,T431,V001,148328520,2024-09-14,Lowest responsive and technically qualified bidder (L1)
A432,T432,V001,86937341,2024-09-15,Lowest responsive and technically qualified bidder (L1)
A433,T433,V025,53627952,2024-09-22,Lowest responsive and technically qualified bidder (L1)
A434,T434,V020,74000520,2024-09-19,Lowest responsive and technically qualified bidder (L1)
A435,T435,V025,27803734,2024-09-14,Lowest responsive and technically qualified bidder (L1)
A436,T436,V005,114341683,2024-09-19,Lowest responsive and technically qualified bidder (L1)
A437,T437,V013,52741329,2024-09-23,Lowest responsive and technically qualified bidder (L1)
A438,T438,V024,73491936,2024-09-27,Lowest responsive and technically qualified bidder (L1)
A439,T439,V013,113923434,2024-10-03,Lowest responsive and technically qualified bidder (L1)
A440,T440,V047,148979698,2024-09-28,Lowest responsive and technically qualified bidder (L1)
A441,T441,V015,99802016,2024-10-09,Lowest responsive and technically qualified bidder (L1)
A442,T442,V021,68098325,2024-09-29,Lowest responsive and technically qualified bidder (L1)
A443,T443,V048,118807217,2024-10-02,Lowest responsive and technically qualified bidder (L1)
A444,T444,V032,159183846,2024-10-05,Lowest responsive and technically qualified bidder (L1)
A445,T445,V011,43988922,2024-09-29,Lowest responsive and technically qualified bidder (L1)
A446,T446,V015,95502565,2024-10-06,Lowest responsive and technically qualified bidder (L1)
A447,T447,V043,74311687,2024-10-13,Lowest responsive and technically qualified bidder (L1)
A448,T448,V045,99313230,2024-10-07,Lowest responsive and technically qualified bidder (L1)
A449,T449,V030,22576995,2024-10-03,Lowest responsive and technically qualified bidder (L1)
A450,T450,V001,40323465,2024-10-05,Lowest responsive and technically qualified bidder (L1)
A451,T451,V002,118929634,2024-10-17,Lowest responsive and technically qualified bidder (L1)
A452,T452,V039,61025786,2024-10-08,Lowest responsive and technically qualified bidder (L1)
A453,T453,V041,123453789,2024-10-08,Lowest responsive and technically qualified bidder (L1)
A454,T454,V022,49614220,2024-10-16,Lowest responsive and technically qualified bidder (L1)
A455,T455,V026,127281427,2024-10-22,Lowest responsive and technically qualified bidder (L1)
A456,T456,V005,15185314,2024-10-15,Lowest responsive and technically qualified bidder (L1)
A457,T457,V010,71676226,2024-10-22,Lowest responsive and technically qualified bidder (L1)
A458,T458,V040,92112696,2024-10-15,Lowest responsive and technically qualified bidder (L1)
A459,T459,V048,110747003,2024-10-17,Lowest responsive and technically qualified bidder (L1)
A460,T460,V005,64672523,2024-10-26,Lowest responsive and technically qualified bidder (L1)
A461,T461,V029,94262327,2024-11-06,Lowest responsive and technically qualified bidder (L1)
A462,T462,V008,13475451,2024-11-01,Lowest responsive and technically qualified bidder (L1)
A463,T463,V012,140492133,2024-10-26,Lowest responsive and technically qualified bidder (L1)
A464,T464,V024,94605996,2024-10-21,Lowest responsive and technically qualified bidder (L1)
A465,T465,V048,33823148,2024-10-26,Lowest responsive and technically qualified bidder (L1)
A466,T466,V042,58095274,2024-10-28,Lowest responsive and technically qualified bidder (L1)
A467,T467,V011,146779824,2024-11-06,Lowest responsive and technically qualified bidder (L1)
A468,T468,V001,5666394,2024-11-12,Lowest responsive and technically qualified bidder (L1)
A469,T469,V031,12583304,2024-11-02,Lowest responsive and technically qualified bidder (L1)
A470,T470,V001,158973176,2024-11-17,Lowest responsive and technically qualified bidder (L1)
A471,T471,V029,124159720,2024-11-02,Lowest responsive and technically qualified bidder (L1)
A472,T472,V021,17842439,2024-11-04,Lowest responsive and technically qualified bidder (L1)
A473,T473,V017,18024364,2024-11-05,Lowest responsive and technically qualified bidder (L1)
A474,T474,V035,136701047,2024-11-09,Lowest responsive and technically qualified bidder (L1)
A475,T475,V021,54570091,2024-11-15,Lowest responsive and technically qualified bidder (L1)
A476,T476,V035,13638695,2024-11-09,Lowest responsive and technically qualified bidder (L1)
A477,T477,V043,53430099,2024-11-17,Lowest responsive and technically qualified bidder (L1)
A478,T478,V030,83131499,2024-11-24,Lowest responsive and technically qualified bidder (L1)
A479,T479,V010,32088521,2024-11-24,Lowest responsive and technically qualified bidder (L1)
A480,T480,V034,149096012,2024-11-21,Lowest responsive and technically qualified bidder (L1)
A481,T481,V021,85573205,2024-11-22,Lowest responsive and technically qualified bidder (L1)
A482,T482,V024,151956575,2024-11-19,Lowest responsive and technically qualified bidder (L1)
A483,T483,V025,64954477,2024-11-19,Lowest responsive and technically qualified bidder (L1)
A484,T484,V010,149820686,2024-12-02,Lowest responsive and technically qualified bidder (L1)
A485,T485,V031,54796658,2024-11-28,Lowest responsive and technically qualified bidder (L1)
A486,T486,V001,70192504,2024-11-22,Lowest responsive and technically qualified bidder (L1)
A487,T487,V045,61704816,2024-11-29,Lowest responsive and technically qualified bidder (L1)
A488,T488,V028,75154695,2024-11-18,Lowest responsive and technically qualified bidder (L1)
A489,T489,V010,100817274,2024-11-22,Lowest responsive and technically qualified bidder (L1)
A490,T490,V020,4530839,2023-03-21,Lowest responsive and technically qualified bidder (L1)
A491,T491,V020,126858876,2024-12-06,Lowest responsive and technically qualified bidder (L1)
A492,T492,V006,74867638,2024-12-04,Lowest responsive and technically qualified bidder (L1)
A493,T493,V007,62408170,2024-11-28,Lowest responsive and technically qualified bidder (L1)
A494,T494,V044,139022524,2024-12-06,Lowest responsive and technically qualified bidder (L1)
A495,T495,V003,14899140,2024-12-08,Lowest responsive and technically qualified bidder (L1)
A496,T496,V005,25661117,2024-12-05,Lowest responsive and technically qualified bidder (L1)
A497,T497,V041,48825939,2024-12-17,Lowest responsive and technically qualified bidder (L1)
A498,T498,V025,41467318,2024-12-09,Lowest responsive and technically qualified bidder (L1)
A499,T499,V039,47311861,2024-12-06,Lowest responsive and technically qualified bidder (L1)
A500,T500,V019,36414547,2024-12-18,Lowest responsive and technically qualified bidder (L1)
