contract_id,tender_id,vendor_id,contract_value_inr,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,completion_status
C310,T310,V043,149896803,2024-04-25,2024-10-22,2024-10-22,180,180,COMPLETED
C311,T311,V009,16089995,2024-04-23,2025-04-23,2025-04-23,365,365,COMPLETED
C312,T312,V019,13068601,2024-05-02,2025-05-02,2025-07-06,365,430,DELAYED
C313,T313,V035,132441947,2024-05-02,2025-10-24,2025-12-23,540,600,COMPLETED
C314,T314,V031,48025151,2024-04-28,2025-10-20,2025-12-13,540,594,COMPLETED
C315,T315,V039,94751517,2024-04-26,2024-07-25,2024-07-25,90,90,COMPLETED
C316,T316,V038,31296734,2024-04-25,2024-10-22,2024-10-22,180,180,COMPLETED
C317,T317,V017,78202839,2024-05-04,2024-12-30,2024-12-30,240,240,COMPLETED
C318,T318,V032,53263279,2024-05-11,2024-11-07,2025-01-06,180,240,COMPLETED
C319,T319,V017,55718982,2024-05-03,2024-12-29,2024-12-29,240,240,COMPLETED
C320,T320,V007,146127725,2024-05-07,2024-11-03,2024-11-03,180,180,COMPLETED
C321,T321,V003,27879845,2024-05-10,2024-11-06,2024-12-25,180,229,COMPLETED
C322,T322,V029,114033715,2024-05-06,2025-10-28,2025-10-28,540,540,COMPLETED
C323,T323,V049,155500744,2024-05-09,2025-10-31,2025-10-31,540,540,COMPLETED
C324,T324,V001,88704294,2024-05-08,2025-01-03,2025-03-13,240,309,DELAYED
C325,T325,V040,95936378,2024-05-12,2024-08-10,2024-08-10,90,90,COMPLETED
C326,T326,V019,138543461,2024-05-09,2025-01-04,2025-01-04,240,240,COMPLETED
C327,T327,V041,88294717,2024-05-15,2025-01-10,2025-01-10,240,240,COMPLETED
C328,T328,V049,59039764,2024-05-13,2025-05-13,2025-05-13,365,365,COMPLETED
C329,T329,V026,71366757,2024-05-26,2025-11-17,2025-11-17,540,540,COMPLETED
C330,T330,V003,131166254,2024-05-20,2025-01-15,2025-01-15,240,240,COMPLETED
C331,T331,V016,119743564,2024-05-23,2025-11-14,2025-11-14,540,540,COMPLETED
C332,T332,V025,141890751,2024-05-30,2025-11-21,2025-11-21,540,540,COMPLETED
C333,T333,V019,160006170,2024-05-26,2025-11-17,2025-11-17,540,540,COMPLETED
C334,T334,V033,78572379,2024-05-25,2025-01-20,2025-01-20,240,240,COMPLETED
C335,T335,V029,59382316,2024-05-24,2025-05-24,2025-05-24,365,365,COMPLETED
C336,T336,V009,160030509,2024-05-17,2025-05-17,2025-05-17,365,365,COMPLETED
C337,T337,V041,134249743,2024-05-16,2024-08-14,2024-09-14,90,121,COMPLETED
C338,T338,V006,95708188,2024-05-25,2025-01-20,2025-01-20,240,240,COMPLETED
C339,T339,V023,66040880,2024-06-01,2025-01-27,2025-01-27,240,240,COMPLETED
C340,T340,V047,16445756,2024-06-04,2025-06-04,2025-06-04,365,365,COMPLETED
C341,T341,V007,45054173,2024-06-03,2024-11-30,2024-11-30,180,180,COMPLETED
C342,T342,V001,74817996,2024-06-02,2024-11-29,2024-11-29,180,180,COMPLETED
C343,T343,V032,18414014,2024-06-10,2025-06-10,2025-06-10,365,365,COMPLETED
C344,T344,V041,155052303,2024-06-12,2024-12-09,2024-12-09,180,180,COMPLETED
C345,T345,V010,49602602,2024-06-19,2025-02-14,2025-02-14,240,240,COMPLETED
C346,T346,V012,57143363,2024-06-08,2024-09-06,2024-12-13,90,188,DELAYED
C347,T347,V037,13174257,2024-06-04,2025-06-04,2025-06-04,365,365,COMPLETED
C348,T348,V004,23702905,2024-06-15,2024-09-13,2024-09-13,90,90,COMPLETED
C349,T349,V050,148806145,2024-06-11,2024-09-09,2024-09-09,90,90,COMPLETED
C350,T350,V013,155190602,2024-06-14,2025-06-14,2025-06-14,365,365,COMPLETED
C351,T351,V042,105490329,2024-06-23,2024-12-20,2025-03-12,180,262,DELAYED
C352,T352,V034,110997338,2024-06-16,2025-12-08,2026-02-27,540,621,DELAYED
C353,T353,V017,51255513,2024-06-12,2025-12-04,2025-12-04,540,540,COMPLETED
C354,T354,V020,3910919,2024-06-15,2024-09-13,2024-09-13,90,90,COMPLETED
C355,T355,V033,20103109,2024-06-28,2024-12-25,2025-03-21,180,266,DELAYED
C356,T356,V011,132507514,2024-06-23,2024-09-21,2024-09-21,90,90,COMPLETED
C357,T357,V044,26351960,2024-06-28,2024-09-26,2024-09-26,90,90,COMPLETED
C358,T358,V039,36924336,2024-06-21,2025-12-13,2025-12-13,540,540,COMPLETED
C359,T359,V035,19642476,2024-07-01,2025-12-23,2025-12-23,540,540,COMPLETED
C360,T360,V001,83726883,2024-06-22,2025-02-17,2025-02-17,240,240,COMPLETED
C361,T361,V050,35286285,2024-06-29,2025-06-29,2025-06-29,365,365,COMPLETED
C362,T362,V034,131484869,2024-06-27,2025-12-19,2025-12-19,540,540,COMPLETED
C363,T363,V036,90587004,2024-06-29,2025-12-21,2025-12-21,540,540,COMPLETED
C364,T364,V026,39366837,2024-06-28,2025-12-20,2025-12-20,540,540,COMPLETED
C365,T365,V017,76901475,2024-07-04,2025-03-01,2025-03-01,240,240,COMPLETED
C366,T366,V017,64031026,2024-06-29,2025-12-21,2025-12-21,540,540,COMPLETED
C367,T367,V009,159436249,2024-06-29,2025-02-24,2025-02-24,240,240,COMPLETED
C368,T368,V050,151791198,2024-07-13,2026-01-04,2026-01-04,540,540,COMPLETED
C369,T369,V030,10860217,2024-07-14,2025-07-14,2025-07-14,365,365,COMPLETED
C370,T370,V039,122131928,2024-07-08,2024-10-06,2024-10-06,90,90,COMPLETED
C371,T371,V035,4445108,2024-07-03,2025-02-28,2025-02-28,240,240,COMPLETED
C372,T372,V038,147326896,2024-07-21,2025-01-17,2025-01-17,180,180,COMPLETED
C373,T373,V028,109264740,2024-07-12,2025-01-08,2025-01-08,180,180,COMPLETED
C374,T374,V019,27887225,2024-07-16,2025-07-16,2025-07-16,365,365,COMPLETED
C375,T375,V048,10666829,2024-07-16,2025-07-16,2025-07-16,365,365,COMPLETED
C376,T376,V018,136439275,2024-07-23,2025-01-19,2025-01-19,180,180,COMPLETED
C377,T377,V008,109438823,2024-07-28,2026-01-19,2026-05-06,540,647,DELAYED
C378,T378,V001,89535699,2024-07-30,2025-03-27,2025-03-27,240,240,COMPLETED
C379,T379,V041,90116858,2024-07-20,2024-10-18,2024-10-18,90,90,COMPLETED
C380,T380,V005,141737959,2024-07-12,2026-01-03,2026-01-03,540,540,COMPLETED
C381,T381,V033,98712130,2024-07-28,2025-07-28,2025-07-28,365,365,COMPLETED
C382,T382,V041,91469035,2024-08-01,2024-10-30,2024-10-30,90,90,COMPLETED
C383,T383,V047,94836352,2024-07-27,2025-03-24,2025-03-24,240,240,COMPLETED
C384,T384,V048,81532540,2024-08-01,2024-10-30,2024-10-30,90,90,COMPLETED
C385,T385,V035,51765805,2024-07-25,2024-10-23,2024-11-25,90,123,COMPLETED
C386,T386,V045,162624961,2024-08-06,2025-04-03,2025-04-03,240,240,COMPLETED
C387,T387,V049,39072876,2024-07-26,2026-01-17,2026-02-23,540,577,COMPLETED
C388,T388,V042,124596611,2024-07-24,2025-03-21,2025-03-21,240,240,COMPLETED
C389,T389,V014,109952807,2024-07-28,2025-07-28,2025-07-28,365,365,COMPLETED
C390,T390,V044,140808141,2024-08-14,2024-11-12,2024-11-12,90,90,COMPLETED
C391,T391,V041,53696844,2024-08-02,2026-01-24,2026-01-24,540,540,COMPLETED
C392,T392,V049,82465088,2024-08-09,2025-08-09,2025-08-09,365,365,COMPLETED
C393,T393,V048,95987345,2024-08-13,2024-11-11,2024-11-11,90,90,COMPLETED
C394,T394,V020,77652462,2024-08-17,2025-02-13,2025-02-13,180,180,COMPLETED
C395,T395,V010,18775064,2024-08-06,2025-04-03,2025-04-03,240,240,COMPLETED
C396,T396,V001,20089105,2024-08-19,2025-04-16,2025-04-16,240,240,COMPLETED
C397,T397,V031,16846785,2024-08-22,2025-08-22,2025-08-22,365,365,COMPLETED
C398,T398,V003,28562754,2024-08-04,2025-08-04,2025-08-04,365,365,COMPLETED
C399,T399,V040,125675155,2024-08-27,2025-08-27,2025-08-27,365,365,COMPLETED
C400,T400,V039,142567972,2024-08-09,2025-04-06,2025-05-25,240,289,COMPLETED
C401,T401,V027,22080993,2024-08-17,2026-02-08,2026-04-16,540,607,DELAYED
C402,T402,V045,154950782,2024-08-17,2025-02-13,2025-02-13,180,180,COMPLETED
C403,T403,V021,91330226,2024-08-27,2025-08-27,2025-08-27,365,365,COMPLETED
C404,T404,V016,123929700,2024-08-25,2025-08-25,2025-08-25,365,365,COMPLETED
C405,T405,V035,121079207,2024-08-21,2025-04-18,2025-04-18,240,240,COMPLETED
C406,T406,V040,154553842,2024-08-28,2025-04-25,2025-04-25,240,240,COMPLETED
C407,T407,V039,105915688,2024-09-01,2025-04-29,2025-08-23,240,356,DELAYED
C408,T408,V019,103755950,2024-08-27,2024-11-25,2024-11-25,90,90,COMPLETED
C409,T409,V028,82825836,2024-09-11,2025-03-10,2025-03-10,180,180,COMPLETED
C410,T410,V050,64940245,2024-09-13,2025-09-13,2025-09-13,365,365,COMPLETED
C411,T411,V017,114156554,2024-08-28,2026-02-19,2026-05-14,540,624,DELAYED
C412,T412,V011,76778406,2024-09-07,2025-09-07,2025-09-07,365,365,COMPLETED
C413,T413,V034,93379489,2024-09-05,2025-09-05,2025-09-05,365,365,COMPLETED
C414,T414,V001,30700614,2024-09-11,2025-09-11,2025-09-11,365,365,COMPLETED
C415,T415,V006,116214806,2024-09-03,2026-02-25,2026-02-25,540,540,COMPLETED
C416,T416,V017,4574536,2024-09-02,2025-09-02,2025-09-02,365,365,COMPLETED
C417,T417,V030,125365792,2024-09-06,2025-03-05,2025-06-24,180,291,DELAYED
C418,T418,V005,47652364,2024-09-09,2025-03-08,2025-03-08,180,180,COMPLETED
C419,T419,V036,155369652,2024-09-16,2025-09-16,2025-09-16,365,365,COMPLETED
C420,T420,V003,121440840,2024-09-10,2025-03-09,2025-03-09,180,180,COMPLETED
C421,T421,V050,12199276,2024-09-15,2025-03-14,2025-03-14,180,180,COMPLETED
C422,T422,V036,165003204,2024-09-10,2025-09-10,2025-09-10,365,365,COMPLETED
C423,T423,V026,74597181,2024-09-22,2025-05-20,2025-08-20,240,332,DELAYED
C424,T424,V036,93076540,2024-09-22,2024-12-21,2024-12-21,90,90,COMPLETED
C425,T425,V016,14799746,2024-09-21,2024-12-20,2024-12-20,90,90,COMPLETED
C426,T426,V026,132116277,2024-09-26,2025-03-25,2025-03-25,180,180,COMPLETED
C427,T427,V035,34412251,2024-09-25,2025-03-24,2025-05-23,180,240,COMPLETED
C428,T428,V027,132862957,2024-09-29,2025-03-28,2025-05-17,180,230,COMPLETED
C429,T429,V010,55071727,2024-09-20,2024-12-19,2024-12-19,90,90,COMPLETED
C430,T430,V011,108449853,2024-09-28,2024-12-27,2025-04-25,90,209,DELAYED
C431,T431,V001,148328520,2024-09-28,2025-05-26,2025-05-26,240,240,COMPLETED
C432,T432,V001,86937341,2024-09-29,2025-09-29,2025-11-19,365,416,COMPLETED
C433,T433,V025,53627952,2024-10-06,2025-04-04,2025-04-04,180,180,COMPLETED
C434,T434,V020,74000520,2024-10-03,2025-05-31,2025-05-31,240,240,COMPLETED
C435,T435,V025,27803734,2024-09-28,2024-12-27,2024-12-27,90,90,COMPLETED
C436,T436,V005,114341683,2024-10-03,2025-10-03,2025-10-03,365,365,COMPLETED
C437,T437,V013,52741329,2024-10-07,2025-10-07,2025-10-07,365,365,COMPLETED
C438,T438,V024,73491936,2024-10-11,2025-04-09,2025-05-19,180,220,COMPLETED
C439,T439,V013,113923434,2024-10-17,2025-01-15,2025-01-15,90,90,COMPLETED
C440,T440,V047,148979698,2024-10-12,2025-10-12,2025-10-12,365,365,COMPLETED
C441,T441,V015,99802016,2024-10-23,2025-01-21,2025-01-21,90,90,COMPLETED
C442,T442,V021,68098325,2024-10-13,2025-01-11,2025-01-11,90,90,COMPLETED
C443,T443,V048,118807217,2024-10-16,2026-04-09,2026-04-09,540,540,COMPLETED
C444,T444,V032,159183846,2024-10-19,2025-01-17,2025-01-17,90,90,COMPLETED
C445,T445,V011,43988922,2024-10-13,2025-01-11,2025-01-11,90,90,COMPLETED
C446,T446,V015,95502565,2024-10-20,2025-06-17,2025-06-17,240,240,COMPLETED
C447,T447,V043,74311687,2024-10-27,2025-04-25,2025-04-25,180,180,COMPLETED
C448,T448,V045,99313230,2024-10-21,2026-04-14,2026-06-11,540,598,COMPLETED
C449,T449,V030,22576995,2024-10-17,2025-10-17,2025-10-17,365,365,COMPLETED
C450,T450,V001,40323465,2024-10-19,2026-04-12,2026-04-12,540,540,COMPLETED
C451,T451,V002,118929634,2024-10-31,2025-04-29,2025-04-29,180,180,COMPLETED
C452,T452,V039,61025786,2024-10-22,2025-06-19,2025-09-14,240,327,DELAYED
C453,T453,V041,123453789,2024-10-22,2025-01-20,2025-02-26,90,127,COMPLETED
C454,T454,V022,49614220,2024-10-30,2026-04-23,2026-04-23,540,540,COMPLETED
C455,T455,V026,127281427,2024-11-05,2025-07-03,2025-07-03,240,240,COMPLETED
C456,T456,V005,15185314,2024-10-29,2025-10-29,2026-01-06,365,434,DELAYED
C457,T457,V010,71676226,2024-11-05,2025-02-03,2025-05-16,90,192,DELAYED
C458,T458,V040,92112696,2024-10-29,2025-06-26,2025-09-08,240,314,DELAYED
C459,T459,V048,110747003,2024-10-31,2025-04-29,2025-04-29,180,180,COMPLETED
C460,T460,V005,64672523,2024-11-09,2025-07-07,2025-08-11,240,275,COMPLETED
C461,T461,V029,94262327,2024-11-20,2025-07-18,2025-07-18,240,240,COMPLETED
C462,T462,V008,13475451,2024-11-15,2025-02-13,2025-02-13,90,90,COMPLETED
C463,T463,V012,140492133,2024-11-09,2025-11-09,2025-11-09,365,365,COMPLETED
C464,T464,V024,94605996,2024-11-04,2025-05-03,2025-05-03,180,180,COMPLETED
C465,T465,V048,33823148,2024-11-09,2025-11-09,2025-11-09,365,365,COMPLETED
C466,T466,V042,58095274,2024-11-11,2025-07-09,2025-07-09,240,240,COMPLETED
C467,T467,V011,146779824,2024-11-20,2026-05-14,2026-05-14,540,540,COMPLETED
C468,T468,V001,5666394,2024-11-26,2025-02-24,2025-02-24,90,90,COMPLETED
C469,T469,V031,12583304,2024-11-16,2025-11-16,2025-11-16,365,365,COMPLETED
C470,T470,V001,158973176,2024-12-01,2026-05-25,2026-08-13,540,620,DELAYED
C471,T471,V029,124159720,2024-11-16,2025-05-15,2025-06-29,180,225,COMPLETED
C472,T472,V021,17842439,2024-11-18,2025-05-17,2025-05-17,180,180,COMPLETED
C473,T473,V017,18024364,2024-11-19,2025-07-17,2025-07-17,240,240,COMPLETED
C474,T474,V035,136701047,2024-11-23,2025-07-21,2025-07-21,240,240,COMPLETED
C475,T475,V021,54570091,2024-11-29,2026-05-23,2026-07-16,540,594,COMPLETED
C476,T476,V035,13638695,2024-11-23,2025-11-23,2025-11-23,365,365,COMPLETED
C477,T477,V043,53430099,2024-12-01,2026-05-25,2026-05-25,540,540,COMPLETED
C478,T478,V030,83131499,2024-12-08,2026-06-01,2026-06-01,540,540,COMPLETED
C479,T479,V010,32088521,2024-12-08,2025-08-05,2025-12-03,240,360,DELAYED
C480,T480,V034,149096012,2024-12-05,2025-03-05,2025-03-05,90,90,COMPLETED
C481,T481,V021,85573205,2024-12-06,2025-12-06,2026-03-01,365,450,DELAYED
C482,T482,V024,151956575,2024-12-03,2025-06-01,2025-08-14,180,254,DELAYED
C483,T483,V025,64954477,2024-12-03,2025-06-01,2025-06-01,180,180,COMPLETED
C484,T484,V010,149820686,2024-12-16,2025-06-14,2025-06-14,180,180,COMPLETED
C485,T485,V031,54796658,2024-12-12,2025-12-12,2025-12-12,365,365,COMPLETED
C486,T486,V001,70192504,2024-12-06,2026-05-30,2026-05-30,540,540,COMPLETED
C487,T487,V045,61704816,2024-12-13,2025-06-11,2025-06-11,180,180,COMPLETED
C488,T488,V028,75154695,2024-12-02,2026-05-26,2026-08-01,540,607,DELAYED
C489,T489,V010,100817274,2024-12-06,2025-08-03,2025-08-03,240,240,COMPLETED
C490,T490,V020,4530839,2023-04-04,2024-04-03,2024-04-03,365,365,COMPLETED
C491,T491,V020,126858876,2024-12-20,2026-06-13,2026-06-13,540,540,COMPLETED
C492,T492,V006,74867638,2024-12-18,2025-06-16,2025-06-16,180,180,COMPLETED
C493,T493,V007,62408170,2024-12-12,2025-03-12,2025-03-12,90,90,COMPLETED
C494,T494,V044,139022524,2024-12-20,2025-03-20,2025-03-20,90,90,COMPLETED
C495,T495,V003,14899140,2024-12-22,2026-06-15,2026-09-19,540,636,DELAYED
C496,T496,V005,25661117,2024-12-19,2025-08-16,2025-08-16,240,240,COMPLETED
C497,T497,V041,48825939,2024-12-31,2025-03-31,2025-03-31,90,90,COMPLETED
C498,T498,V025,41467318,2024-12-23,2025-03-23,2025-05-10,90,138,COMPLETED
C499,T499,V039,47311861,2024-12-20,2025-12-20,2025-12-20,365,365,COMPLETED
C500,T500,V019,36414547,2025-01-01,2025-08-29,2025-08-29,240,240,COMPLETED
